susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0276136188181157,0.00192984702886967
0.3537,0.0152,0.0268062030632001,0.00135089292020877
0.3998,0.0213,0.0150179330414314,0.0183335467742619
0.4318,0.0262,0.012111236323735,0.0100352045501223
0.6081,0.0668,0.00968898905898797,0.011579082173218
0.7004,0.0982,0.00678229234129158,0.0243160725637579
0.7152,0.1039,0.0101734385119374,0.0225792102377752
0.6895,0.0941,0.014533483588482,0.0243160725637579
0.7075,0.1009,0.0193779781179759,0.0362811241427499
0.766,0.1253,0.0261602704592675,0.0403338029033762
0.8963,0.1925,0.0263217536102507,0.0615621202209426
1.0018,0.2607,0.0250298884023856,0.109615311239798
1.0455,0.2929,0.0337499785554748,0.188932024126341
1.307,0.5387,0.0398863382928338,0.177738911358897
1.387,0.6334,0.0392404056889013,0.319003713872157
1.3056,0.5371,0.0419856192556145,0.437303336741868
1.4357,0.696,0.0456997317282266,0.505426936860968
1.5476,0.8541,0.0426315518595471,0.670621842532212
1.5698,0.888,0.0371411247261206,1
1.5229,0.8174,0.0313277312907278,1
1.5776,0.9,0.0313277312907278,1
