susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0543811666084002,0.00254521303261572
0.3537,0.0152,0.0527910740175113,0.001781649122831
0.3998,0.0213,0.0295757221905334,0.0241795238098493
0.4318,0.0262,0.0238513888633334,0.0132351077696017
0.6081,0.0668,0.0190811110906667,0.0152712781956943
0.7004,0.0982,0.0133567777634667,0.0320696842109581
0.7152,0.1039,0.0200351666452001,0.0297789924816039
0.6895,0.0941,0.0286216666360001,0.0320696842109581
0.7075,0.1009,0.0381622221813335,0.0478500050131755
0.766,0.1253,0.0515189999448002,0.0531949523816685
0.8963,0.1925,0.051837018462978,0.0811922957404414
1.0018,0.2607,0.0492928703175557,0.144568100252573
1.0455,0.2929,0.0664658702991558,0.249176355893079
1.307,0.5387,0.0785505739899114,0.234414120303908
1.387,0.6334,0.0772784999172003,0.420723714291378
1.3056,0.5371,0.0826848147262225,0.576745273190722
1.4357,0.696,0.0899992406443114,0.666591293242057
1.5476,0.8541,0.0839568887989336,0.884461528833962
1.5698,0.888,0.0731442591808892,1
1.5229,0.8174,0.0616955925264891,1
1.5776,0.9,0.0616955925264891,1
