susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0313390371459268,0.00207119386793296
0.3537,0.0152,0.0304226910305488,0.00144983570755307
0.3998,0.0213,0.0170440377460304,0.0196763417453631
0.4318,0.0262,0.0137451917306696,0.0107702081132514
0.6081,0.0668,0.0109961533845357,0.0124271632075977
0.7004,0.0982,0.007697307369175,0.0260970427359552
0.7152,0.1039,0.0115459610537625,0.0242329682548156
0.6895,0.0941,0.0164942300768036,0.0260970427359552
0.7075,0.1009,0.0219923067690714,0.0389384447171396
0.766,0.1253,0.0296896141382464,0.0432879518397988
0.8963,0.1925,0.029872883361322,0.0660710843870613
1.0018,0.2607,0.0284067295767173,0.117643811698592
1.0455,0.2929,0.0383032676227994,0.202769879670636
1.307,0.5387,0.045267498099672,0.190756955236625
1.387,0.6334,0.0445344212073696,0.342368346369318
1.3056,0.5371,0.0476499979996548,0.469332530473608
1.4357,0.696,0.0518651901303934,0.542445674011641
1.5476,0.8541,0.0483830748919571,0.719739869106702
1.5698,0.888,0.0421519213073869,1
1.5229,0.8174,0.0355542292766655,1
1.5776,0.9,0.0355542292766655,1
