susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.018674875846179,0.00134143261903327
0.3537,0.0152,0.0181288268448287,0.000939002833323289
0.3998,0.0213,0.0101565114251149,0.0127436098808161
0.4318,0.0262,0.00819073502025394,0.006975449618973
0.6081,0.0668,0.00655258801620315,0.00804859571419962
0.7004,0.0982,0.00458681161134221,0.0169020509998192
0.7152,0.1039,0.00688021741701331,0.0156947616426893
0.6895,0.0941,0.00982888202430472,0.0169020509998192
0.7075,0.1009,0.0131051760324063,0.0252189332378255
0.766,0.1253,0.0176919876437485,0.0280359417377953
0.8963,0.1925,0.0178011974440186,0.0427917005471613
1.0018,0.2607,0.0169275190418581,0.0761933727610897
1.0455,0.2929,0.022824848256441,0.131326253403357
1.307,0.5387,0.026974820666703,0.123545944212964
1.387,0.6334,0.0265379814656228,0.221738811926199
1.3056,0.5371,0.0283945480702136,0.303968631472939
1.4357,0.696,0.0309063734764249,0.351321202924813
1.5476,0.8541,0.0288313872712939,0.466147835114061
1.5698,0.888,0.0251182540621121,0.775482197063133
1.5229,0.8174,0.0211867012523902,1
1.5776,0.9,0.0211867012523902,1
