susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0357996894960894,0.00218410562133655
0.3537,0.0152,0.0347529149494201,0.00152887393493559
0.3998,0.0213,0.0194700065680486,0.0207490034026973
0.4318,0.0262,0.0157016182000392,0.0113573492309501
0.6081,0.0668,0.0125612945600314,0.0131046337280193
0.7004,0.0982,0.00879290619202196,0.0275197308288406
0.7152,0.1039,0.0131893592880329,0.0255540357696377
0.6895,0.0941,0.0188419418400471,0.0275197308288406
0.7075,0.1009,0.0251225891200627,0.0410611856811272
0.766,0.1253,0.0339154953120847,0.045647807485934
0.8963,0.1925,0.0341248502214185,0.0696729693206361
1.0018,0.2607,0.0324500109467477,0.124057199291916
1.0455,0.2929,0.0437551760507759,0.213823940328849
1.307,0.5387,0.0517106626054625,0.201156127725097
1.387,0.6334,0.050873242968127,0.361032659206932
1.3056,0.5371,0.0544322764268026,0.494918333794863
1.4357,0.696,0.0592474393414813,0.572017262228043
1.5476,0.8541,0.055269696064138,0.758976703414452
1.5698,0.888,0.0481516291467869,1
1.5229,0.8174,0.0406148524107681,1
1.5776,0.9,0.0406148524107681,1
