susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00651648510244685,0.00119257649672612
0.3537,0.0152,0.0063259446023753,0.000834803547708283
0.3998,0.0213,0.00354405330133074,0.0113294767188981
0.4318,0.0262,0.00285810750107318,0.00620139778297582
0.6081,0.0668,0.00228648600085854,0.00715545898035671
0.7004,0.0982,0.00160054020060098,0.0150264638587491
0.7152,0.1039,0.00240081030090147,0.0139531450116956
0.6895,0.0941,0.00342972900128782,0.0150264638587491
0.7075,0.1009,0.00457297200171709,0.022420438138451
0.766,0.1253,0.00617351220231807,0.0249248487815759
0.8963,0.1925,0.00621162030233238,0.0380431902455632
1.0018,0.2607,0.0059067555022179,0.0677383450140435
1.0455,0.2929,0.00796459290299059,0.116753239029487
1.307,0.5387,0.00941270070353434,0.109836295348475
1.387,0.6334,0.0092602683034771,0.197132894908827
1.3056,0.5371,0.00990810600372036,0.270237834158138
1.4357,0.696,0.0107845923040495,0.31233578449257
1.5476,0.8541,0.0100605384037776,0.414420332612326
1.5698,0.888,0.00876486300329109,0.689428472757369
1.5229,0.8174,0.00739297140277596,1
1.5776,0.9,0.00739297140277596,0.949171633744318
