susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0480499364459047,0.00340658445116963
0.3537,0.0152,0.0466449675439777,0.00238460911581874
0.3998,0.0213,0.0261324215758429,0.0323625522861115
0.4318,0.0262,0.0210745335289056,0.0177142391460821
0.6081,0.0668,0.0168596268231245,0.0204395067070178
0.7004,0.0982,0.0118017387761871,0.0429229640847374
0.7152,0.1039,0.0177026081642807,0.0398570380786847
0.6895,0.0941,0.0252894402346867,0.0429229640847374
0.7075,0.1009,0.0337192536462489,0.0640437876819891
0.766,0.1253,0.0455209924224361,0.0711976150294453
0.8963,0.1925,0.0458019862028215,0.108670043992311
1.0018,0.2607,0.0435540359597382,0.193493996826435
1.0455,0.2929,0.0587277001005502,0.333504617769507
1.307,0.5387,0.0694054637551957,0.313746427952723
1.387,0.6334,0.0682814886336541,0.56310840977834
1.3056,0.5371,0.0730583829002061,0.771932036635039
1.4357,0.696,0.0795212398490704,0.892184467761327
1.5476,0.8541,0.0741823580217477,1
1.5698,0.888,0.0646285694886438,1
1.5229,0.8174,0.0545127933947691,1
1.5776,0.9,0.0545127933947691,1
