susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0255142921806326,0.00187964695424289
0.3537,0.0152,0.0247682602455263,0.00131575286797002
0.3998,0.0213,0.0138761939929756,0.0178566460653074
0.4318,0.0262,0.0111904790265932,0.009774164162063
0.6081,0.0668,0.00895238322127458,0.0112778817254573
0.7004,0.0982,0.00626666825489221,0.0236835516234604
0.7152,0.1039,0.00940000238233831,0.0219918693646418
0.6895,0.0941,0.0134285748319119,0.0236835516234604
0.7075,0.1009,0.0179047664425492,0.0353373627397662
0.766,0.1253,0.0241714346974414,0.0392846213436763
0.8963,0.1925,0.0243206410844626,0.059960737840348
1.0018,0.2607,0.0231269899882927,0.106763947000996
1.0455,0.2929,0.0311841348874398,0.184017436820378
1.307,0.5387,0.036853977594247,0.17311548448577
1.387,0.6334,0.0362571520461621,0.310705641536349
1.3056,0.5371,0.0387936606255232,0.425927999831438
1.4357,0.696,0.0422254075270118,0.492279537316212
1.5476,0.8541,0.0393904861736082,0.653177316599403
1.5698,0.888,0.0343174690148859,1
1.5229,0.8174,0.0289460390821211,1
1.5776,0.9,0.0289460390821211,1
