susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0343848305001644,0.00207620742440979
0.3537,0.0152,0.0333794260995748,0.00145334519708685
0.3998,0.0213,0.0187005218509666,0.019723970531893
0.4318,0.0262,0.015081066008844,0.0107962786069309
0.6081,0.0668,0.0120648528070752,0.0124572445464588
0.7004,0.0982,0.00844539696495266,0.0261602135475634
0.7152,0.1039,0.012668095447429,0.0242916268655946
0.6895,0.0941,0.0180972792106128,0.0261602135475634
0.7075,0.1009,0.0241297056141504,0.0390326995789041
0.766,0.1253,0.0325751025791031,0.0433927351701647
0.8963,0.1925,0.032776183459221,0.0662310168386724
1.0018,0.2607,0.0311675364182777,0.117928581706476
1.0455,0.2929,0.0420259039446454,0.203260706849719
1.307,0.5387,0.0496669773891263,0.191218703788142
1.387,0.6334,0.0488626538686546,0.343197087254939
1.3056,0.5371,0.0522810288306593,0.470468602371259
1.4357,0.696,0.0569058890733714,0.543758724452925
1.5476,0.8541,0.053085352351131,0.721482079982403
1.5698,0.888,0.0462486024271217,1
1.5229,0.8174,0.0390096907428765,1
1.5776,0.9,0.0390096907428765,1
