susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0177652363944494,0.00135015572382971
0.3537,0.0152,0.0172457850378866,0.000945109006680798
0.3998,0.0213,0.00966179523206898,0.0128264793763823
0.4318,0.0262,0.00779177034844273,0.0070208097639145
0.6081,0.0668,0.00623341627875418,0.00810093434297827
0.7004,0.0982,0.00436339139512793,0.0170119621202544
0.7152,0.1039,0.00654508709269189,0.0157968219688076
0.6895,0.0941,0.00935012441813127,0.0170119621202544
0.7075,0.1009,0.0124668325575084,0.0253829276079986
0.766,0.1253,0.0168302239526363,0.028218254628041
0.8963,0.1925,0.0169341142239489,0.0430699675901678
1.0018,0.2607,0.0161029920534483,0.0766888451135276
1.0455,0.2929,0.0217130667043271,0.132180245362929
1.307,0.5387,0.0256608970142047,0.124349342164716
1.387,0.6334,0.0252453359289544,0.223180741149051
1.3056,0.5371,0.0270114705412681,0.305945287019813
1.4357,0.696,0.0294009467814572,0.353605784071002
1.5476,0.8541,0.0274270316265184,0.469179114030825
1.5698,0.888,0.023894762401891,0.780525023945956
1.5229,0.8174,0.0201547126346385,1
1.5776,0.9,0.0201547126346385,1
