susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0222783153365499,0.00163221737815502
0.3537,0.0152,0.021626902607411,0.00114255216470851
0.3998,0.0213,0.0121162767619833,0.0155060650924727
0.4318,0.0262,0.00977119093708329,0.0084875303664061
0.6081,0.0668,0.00781695274966663,0.00979330426893011
0.7004,0.0982,0.00547186692476664,0.0205659389647532
0.7152,0.1039,0.00820780038714996,0.0190969433244137
0.6895,0.0941,0.0117254291244999,0.0205659389647532
0.7075,0.1009,0.0156339054993333,0.0306856867093144
0.766,0.1253,0.0211057724240999,0.0341133432034399
0.8963,0.1925,0.0212360549699277,0.0520677343631451
1.0018,0.2607,0.0201937946033055,0.0927099470792051
1.0455,0.2929,0.0272290520780054,0.159794081321376
1.307,0.5387,0.032179788819461,0.150327220528077
1.387,0.6334,0.0316586586361499,0.269805532609025
1.3056,0.5371,0.0338734619152221,0.369860457889927
1.4357,0.696,0.0368699604692609,0.427477731338799
1.5476,0.8541,0.0343945920985332,0.567195538908869
1.5698,0.888,0.0299649855403888,0.943584866311416
1.5229,0.8174,0.0252748138905888,1
1.5776,0.9,0.0252748138905888,1
