susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0324386831689167,0.00209514108786155
0.3537,0.0152,0.0314901836610536,0.00146659876150308
0.3998,0.0213,0.0176420908462529,0.0199038403346847
0.4318,0.0262,0.0142274926179459,0.01089473365688
0.6081,0.0668,0.0113819940943567,0.0125708465271693
0.7004,0.0982,0.0079673958660497,0.0263987777070555
0.7152,0.1039,0.0119510937990746,0.0245131507279801
0.6895,0.0941,0.0170729911415351,0.0263987777070555
0.7075,0.1009,0.0227639881887134,0.0393886524517971
0.766,0.1253,0.0307313840547631,0.0437884487363063
0.8963,0.1925,0.0309210839563358,0.0668350007027834
1.0018,0.2607,0.0294034847437549,0.119004013790536
1.0455,0.2929,0.0396472794286759,0.205114312501646
1.307,0.5387,0.0468558756884352,0.192962494192049
1.387,0.6334,0.0460970760821447,0.346326821823514
1.3056,0.5371,0.0493219744088791,0.474758970509427
1.4357,0.696,0.0536850721450492,0.548717450910939
1.5476,0.8541,0.0500807740151696,0.728061528031888
1.5698,0.888,0.0436309773617008,1
1.5229,0.8174,0.0368017809050867,1
1.5776,0.9,0.0368017809050867,1
