susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0142634427001789,0.00162923132746731
0.3537,0.0152,0.0138463829721035,0.00114046192922711
0.3998,0.0213,0.00775731094220256,0.0154776976109394
0.4318,0.0262,0.0062558959211311,0.00847200290283
0.6081,0.0668,0.00500471673690488,0.00977538796480384
0.7004,0.0982,0.00350330171583341,0.0205283147260881
0.7152,0.1039,0.00525495257375012,0.0190620065313675
0.6895,0.0941,0.00750707510535731,0.0205283147260881
0.7075,0.1009,0.0100094334738098,0.0306295489563854
0.766,0.1253,0.0135127351896432,0.0340509347440667
0.8963,0.1925,0.0135961471352582,0.0519724793462071
1.0018,0.2607,0.0129288515703376,0.092540339400143
1.0455,0.2929,0.017433096633552,0.159501746959049
1.307,0.5387,0.0206027505669251,0.150052205259739
1.387,0.6334,0.0202691027844648,0.269311938430346
1.3056,0.5371,0.0216871058599211,0.369183818804092
1.4357,0.696,0.023605580609068,0.426695684663688
1.5476,0.8541,0.0220207536423815,0.566157886294889
1.5698,0.888,0.0191847474914687,0.94185863040885
1.5229,0.8174,0.0161819174493258,1
1.5776,0.9,0.0161819174493258,1
