susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0279255031164631,0.00204640545929201
0.3537,0.0152,0.0271089679376192,0.00143248382150441
0.3998,0.0213,0.0151875543264975,0.0194408518632741
0.4318,0.0262,0.0122480276826593,0.0106413083883184
0.6081,0.0668,0.00979842214612742,0.012278432755752
0.7004,0.0982,0.00685889550228919,0.0257847087870793
0.7152,0.1039,0.0102883432534338,0.0239429438737165
0.6895,0.0941,0.0146976332191911,0.0257847087870793
0.7075,0.1009,0.0195968442922548,0.0384724226346898
0.766,0.1253,0.026455739794544,0.042769874099203
0.8963,0.1925,0.0266190468303128,0.0652803341514151
1.0018,0.2607,0.0253125905441625,0.116235830087786
1.0455,0.2929,0.0341311704756772,0.200343094464688
1.307,0.5387,0.0403368378348912,0.188473942800794
1.387,0.6334,0.039683609691816,0.338270822420969
1.3056,0.5371,0.0424598292998855,0.463715477075569
1.4357,0.696,0.0462158911225677,0.535953589788577
1.5476,0.8541,0.0431130574429606,0.711125897103973
1.5698,0.888,0.0375606182268218,1
1.5229,0.8174,0.0316815649391453,1
1.5776,0.9,0.0316815649391453,1
