susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.015239634789465,0.00111834341285643
0.3537,0.0152,0.0147940314330479,0.000782840388999502
0.3998,0.0213,0.00828822242935817,0.0106242624221361
0.4318,0.0262,0.00668405034625659,0.00581538574685344
0.6081,0.0668,0.00534724027700527,0.00671006047713859
0.7004,0.0982,0.00374306819390369,0.014091127001991
0.7152,0.1039,0.00561460229085553,0.0130846179304202
0.6895,0.0941,0.00802086041550791,0.014091127001991
0.7075,0.1009,0.0106944805540105,0.0210248561617009
0.766,0.1253,0.0144375487479142,0.0233733773286994
0.8963,0.1925,0.0145266694191977,0.0356751548701201
1.0018,0.2607,0.0138137040489303,0.0635219058502453
1.0455,0.2929,0.018626220298235,0.109485820118645
1.307,0.5387,0.022012805807005,0.102999428324077
1.387,0.6334,0.0216563231218713,0.184862166145168
1.3056,0.5371,0.0231713745336895,0.253416617353267
1.4357,0.696,0.0252211499732082,0.292894139827099
1.5476,0.8541,0.0235278572188232,0.38862433596761
1.5698,0.888,0.0204977543951869,0.646514326972303
1.5229,0.8174,0.0172894102289837,1
1.5776,0.9,0.0172894102289837,0.890089522292433
