susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0106222482326367,0.00146860852694375
0.3537,0.0152,0.0103116561790508,0.00102802596886063
0.3998,0.0213,0.00577701219669716,0.0139517810059657
0.4318,0.0262,0.00465888080378803,0.00763676434010752
0.6081,0.0668,0.00372710464303043,0.00881165116166252
0.7004,0.0982,0.0026089732501213,0.0185044674394913
0.7152,0.1039,0.00391345987518195,0.0171827197652419
0.6895,0.0941,0.00559065696454564,0.0185044674394913
0.7075,0.1009,0.00745420928606085,0.0276098403065426
0.766,0.1253,0.0100631825361822,0.0306939182131244
0.8963,0.1925,0.0101253009468993,0.0468486120095057
1.0018,0.2607,0.00962835366116194,0.0834169643304052
1.0455,0.2929,0.0129827478398893,0.143776774787793
1.307,0.5387,0.0153432474471419,0.13525884533152
1.387,0.6334,0.0150947738042732,0.242760989503802
1.3056,0.5371,0.0161507867864652,0.332786692205455
1.4357,0.696,0.0175795102329602,0.384628573206569
1.5476,0.8541,0.0163992604293339,0.510341463112954
1.5698,0.888,0.01428723446495,0.849002589426184
1.5229,0.8174,0.0120509716791317,1
1.5776,0.9,0.0120509716791317,1
