susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0817874095993017,0.00587486096113383
0.3537,0.0152,0.0793959648741759,0.00411240267279368
0.3998,0.0213,0.0444808718873395,0.0558111791307714
0.4318,0.0262,0.0358716708768867,0.0305492769978959
0.6081,0.0668,0.0286973367015094,0.035249165766803
0.7004,0.0982,0.0200881356910566,0.0740232481102863
0.7152,0.1039,0.0301322035365848,0.0687358732452659
0.6895,0.0941,0.043046005052264,0.0740232481102863
0.7075,0.1009,0.0573946734030187,0.110447386069316
0.766,0.1253,0.0774828090940753,0.122784594087697
0.8963,0.1925,0.0779610980391005,0.187408064660169
1.0018,0.2607,0.0741347864788992,0.333692102592402
1.0455,0.2929,0.0999623895102576,0.575148888095002
1.307,0.5387,0.118137369421214,0.541074694520426
1.387,0.6334,0.116224213641113,0.971114516875423
1.3056,0.5371,0.124355125706541,1
1.4357,0.696,0.135355771442119,1
1.5476,0.8541,0.126268281486641,1
1.5698,0.888,0.110006457355786,1
1.5229,0.8174,0.0927880553348803,1
1.5776,0.9,0.0927880553348803,1
