susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0218854749326772,0.00178594097857891
0.3537,0.0152,0.0212455487650551,0.00125015868500524
0.3998,0.0213,0.0119026267177718,0.0169664392964996
0.4318,0.0262,0.00959889251433211,0.00928689308861033
0.6081,0.0668,0.00767911401146569,0.0107156458714735
0.7004,0.0982,0.00537537980802599,0.0225028563300943
0.7152,0.1039,0.00806306971203898,0.0208955094493732
0.6895,0.0941,0.0115186710171985,0.0225028563300943
0.7075,0.1009,0.0153582280229314,0.0335756903972835
0.766,0.1253,0.0207336078309574,0.0373261664522992
0.8963,0.1925,0.0208615930644818,0.0569715172166672
1.0018,0.2607,0.0198377111962864,0.101441447583282
1.0455,0.2929,0.0267489138066055,0.174843621802875
1.307,0.5387,0.0316123526805338,0.164485164127118
1.387,0.6334,0.0311004117464361,0.295216043759094
1.3056,0.5371,0.0332761607163513,0.404694225745981
1.4357,0.696,0.0362198210874132,0.467737942289817
1.5476,0.8541,0.033788101650449,0.620614490056171
1.5698,0.888,0.0294366037106185,1
1.5229,0.8174,0.0248291353037391,1
1.5776,0.9,0.0248291353037391,1
