susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0163150826644475,0.00121928377958638
0.3537,0.0152,0.0158380334637327,0.000853498645710468
0.3998,0.0213,0.00887311513329603,0.0115831959060706
0.4318,0.0262,0.00715573801072261,0.00634027565384919
0.6081,0.0668,0.00572459040857808,0.0073157026775183
0.7004,0.0982,0.00400721328600466,0.0153629756227884
0.7152,0.1039,0.00601081992900699,0.0142656202211607
0.6895,0.0941,0.00858688561286713,0.0153629756227884
0.7075,0.1009,0.0114491808171562,0.022922535056224
0.766,0.1253,0.0154563941031608,0.0254830309933554
0.8963,0.1925,0.0155518039433038,0.0388951525688056
1.0018,0.2607,0.0147885252221601,0.0692553186805066
1.0455,0.2929,0.0199406565898803,0.119367882021507
1.307,0.5387,0.0235662305153131,0.112296036099906
1.387,0.6334,0.0231845911547412,0.201547608765629
1.3056,0.5371,0.0248065584371717,0.276289704454274
1.4357,0.696,0.02700098476046,0.319330421873674
1.5476,0.8541,0.0251881977977436,0.423701113406268
1.5698,0.888,0.0219442632328827,0.704867952978888
1.5229,0.8174,0.0185095089877358,1
1.5776,0.9,0.0185095089877358,0.970427960172802
