susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0189658751333562,0.00141738686780629
0.3537,0.0152,0.0184113173809189,0.000992170807464402
0.3998,0.0213,0.0103147741953341,0.0134651752441597
0.4318,0.0262,0.00831836628655975,0.0073704117125927
0.6081,0.0668,0.0066546930292478,0.00850432120683773
0.7004,0.0982,0.00465828512047346,0.0178590745343592
0.7152,0.1039,0.00698742768071019,0.0165834263533336
0.6895,0.0941,0.0099820395438717,0.0178590745343592
0.7075,0.1009,0.0133093860584956,0.0266468731147582
0.766,0.1253,0.0179676711789691,0.0296233855371514
0.8963,0.1925,0.0180785827294565,0.0452146410830206
1.0018,0.2607,0.0171912903255568,0.0805075740913972
1.0455,0.2929,0.0231805140518798,0.138762174358236
1.307,0.5387,0.0273951529704034,0.130541330524959
1.387,0.6334,0.0269515067684536,0.23429404924838
1.3056,0.5371,0.0288370031267405,0.321179864244905
1.4357,0.696,0.0313879687879521,0.371213620678467
1.5476,0.8541,0.0292806493286903,0.492541936562685
1.5698,0.888,0.0255096566121166,0.819391348278816
1.5229,0.8174,0.0215168407945679,1
1.5776,0.9,0.0215168407945679,1
