susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0166195707485316,0.00121763031824609
0.3537,0.0152,0.0161336183874634,0.000852341222772265
0.3998,0.0213,0.00903871391586805,0.0115674880233379
0.4318,0.0262,0.00728928541602262,0.00633167765487968
0.6081,0.0668,0.0058314283328181,0.00730578190947656
0.7004,0.0982,0.00408199983297267,0.0153421420099008
0.7152,0.1039,0.006122999749459,0.0142462747234793
0.6895,0.0941,0.00874714249922715,0.0153421420099008
0.7075,0.1009,0.0116628566656362,0.0228914499830265
0.766,0.1253,0.0157448564986089,0.0254484736513433
0.8963,0.1925,0.0158420469708225,0.0388424071520504
1.0018,0.2607,0.0150645231931134,0.0691614020763781
1.0455,0.2929,0.0203128086926497,0.119206008156292
1.307,0.5387,0.0240060466367678,0.112143752310465
1.387,0.6334,0.0236172847479133,0.201274291606079
1.3056,0.5371,0.0252695227755451,0.275915030114565
1.4357,0.696,0.0275049036364587,0.318897380348652
1.5476,0.8541,0.0256582846643996,0.423126535590517
1.5698,0.888,0.022353808609136,0.703912086978066
1.5229,0.8174,0.0188549516094452,1
1.5776,0.9,0.0188549516094452,0.969111970292065
