susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0185618479606366,0.00179596236805611
0.3537,0.0152,0.0180191038682203,0.00125717365763928
0.3998,0.0213,0.0100950401189427,0.017061642496533
0.4318,0.0262,0.0081411613862441,0.00933900431389177
0.6081,0.0668,0.00651292910899528,0.0107757742083367
0.7004,0.0982,0.0045590503762967,0.022629125837507
0.7152,0.1039,0.00683857556444505,0.0210127597062565
0.6895,0.0941,0.00976939366349293,0.022629125837507
0.7075,0.1009,0.0130258582179906,0.0337640925194549
0.766,0.1253,0.0175849085942873,0.0375356134923727
0.8963,0.1925,0.0176934574127705,0.0572911995409899
1.0018,0.2607,0.0168250668649045,0.102010662505587
1.0455,0.2929,0.0226867030630002,0.175824715832693
1.307,0.5387,0.0268115581653639,0.165408134097968
1.387,0.6334,0.0263773628914309,0.296872579439675
1.3056,0.5371,0.0282226928056462,0.406965072601514
1.4357,0.696,0.0307193156307611,0.470362544193895
1.5476,0.8541,0.0286568880795793,0.624096922899498
1.5698,0.888,0.0249662282511486,1
1.5229,0.8174,0.0210584707857514,1
1.5776,0.9,0.0210584707857514,1
