susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00319787758448805,0.000999334253390393
0.3537,0.0152,0.00310437239195916,0.000699533977373275
0.3998,0.0213,0.00173919658103736,0.00949367540720873
0.4318,0.0262,0.00140257788793336,0.00519653811763004
0.6081,0.0668,0.00112206231034669,0.00599600552034236
0.7004,0.0982,0.00078544361724268,0.0125916115927189
0.7152,0.1039,0.00117816542586402,0.0116922107646676
0.6895,0.0941,0.00168309346552003,0.0125916115927189
0.7075,0.1009,0.00224412462069337,0.0187874839637394
0.766,0.1253,0.00302956823793605,0.0208860858958592
0.8963,0.1925,0.00304826927644183,0.0318787626831535
1.0018,0.2607,0.0028986609683956,0.0567621855925743
1.0455,0.2929,0.00390851704770762,0.0978348234069194
1.307,0.5387,0.00461915651092719,0.0920386847372552
1.387,0.6334,0.00454435235690408,0.165189952085432
1.3056,0.5371,0.00486227001150231,0.226449141818263
1.4357,0.696,0.0052923938971352,0.261725640962944
1.5476,0.8541,0.00493707416552542,0.347268653053161
1.5698,0.888,0.00430123885632896,0.577715131884986
1.5229,0.8174,0.00362800147012095,0.950966475526298
1.5776,0.9,0.00362800147012095,0.795370132273413
