susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.086413807916799,0.0030239672710453
0.3537,0.0152,0.083887088387068,0.00211677708973171
0.3998,0.0213,0.0469969832529959,0.0287276890749303
0.4318,0.0262,0.0379007929459644,0.0157246298094355
0.6081,0.0668,0.0303206343567716,0.0181438036262718
0.7004,0.0982,0.0212244440497401,0.0381019876151707
0.7152,0.1039,0.0318366660746101,0.03538041707123
0.6895,0.0941,0.0454809515351573,0.0381019876151707
0.7075,0.1009,0.0606412687135431,0.0568505846956516
0.766,0.1253,0.0818657127632832,0.0632009159648467
0.8963,0.1925,0.0823710566692294,0.0964645559463449
1.0018,0.2607,0.0783283054216599,0.171761340995373
1.0455,0.2929,0.105616876342754,0.296046395835334
1.307,0.5387,0.12481994476871,0.278507385663272
1.387,0.6334,0.122798569144925,0.499861789903787
1.3056,0.5371,0.13138941554601,0.685230983618864
1.4357,0.696,0.143012325382773,0.791977028286763
1.5476,0.8541,0.133410791169795,1
1.5698,0.888,0.116229098367624,1
1.5229,0.8174,0.0980367177535614,1
1.5776,0.9,0.0980367177535614,1
