susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0149263518784522,0.00105822987464441
0.3537,0.0152,0.0144899088410705,0.000740760912251089
0.3998,0.0213,0.00811784049529854,0.0100531838091219
0.4318,0.0262,0.00654664556072463,0.00550279534815094
0.6081,0.0668,0.0052373164485797,0.00634937924786647
0.7004,0.0982,0.00366612151400579,0.0133336964205196
0.7152,0.1039,0.00549918227100869,0.0123812895333396
0.6895,0.0941,0.00785597467286956,0.0133336964205196
0.7075,0.1009,0.0104746328971594,0.019894721643315
0.766,0.1253,0.0141407544111652,0.0221170043800682
0.8963,0.1925,0.0142280430186415,0.0337575330011567
1.0018,0.2607,0.0135297341588309,0.0601074568798026
1.0455,0.2929,0.0182433189625526,0.103600704727688
1.307,0.5387,0.0215602860466531,0.0974629714547504
1.387,0.6334,0.0212111316167478,0.174925398278721
1.3056,0.5371,0.0226950379438454,0.239794889594424
1.4357,0.696,0.0247026759158009,0.277150404169372
1.5476,0.8541,0.0230441923737507,0.367734881438933
1.5698,0.888,0.0200763797195555,0.611762690531935
1.5229,0.8174,0.0169339898504077,1
1.5776,0.9,0.0169339898504077,0.842245157229488
