susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00575163277845521,0.00122549935975578
0.3537,0.0152,0.00558345638142436,0.000857849551829049
0.3998,0.0213,0.00312808098477389,0.01164224391768
0.4318,0.0262,0.00252264595546281,0.00637259667073008
0.6081,0.0668,0.00201811676437025,0.00735299615853471
0.7004,0.0982,0.00141268173505917,0.0154412919329229
0.7152,0.1039,0.00211902260258876,0.0143383425091427
0.6895,0.0941,0.00302717514655537,0.0154412919329229
0.7075,0.1009,0.0040362335287405,0.0230393879634088
0.766,0.1253,0.00544891526379967,0.0256129366188959
0.8963,0.1925,0.00548255054320584,0.0390934295762095
1.0018,0.2607,0.00521346830795648,0.0696083636341286
1.0455,0.2929,0.0070297733958897,0.119976387320091
1.307,0.5387,0.00830791401332419,0.112868491033508
1.387,0.6334,0.00817337289569951,0.202575044167631
1.3056,0.5371,0.00874517264560442,0.277698154920661
1.4357,0.696,0.00951878407194634,0.32095828232004
1.5476,0.8541,0.0088797137632291,0.425861027515135
1.5698,0.888,0.00773611426341929,0.708461179874819
1.5229,0.8174,0.00652524420479714,1
1.5776,0.9,0.00652524420479714,0.975374940429629
