susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0223321698689291,0.00165646621007039
0.3537,0.0152,0.021679182445861,0.00115952634704927
0.3998,0.0213,0.0121455660690667,0.0157364289956687
0.4318,0.0262,0.00979481134602153,0.00861362429236602
0.6081,0.0668,0.00783584907681722,0.00993879726042234
0.7004,0.0982,0.00548509435377206,0.0208714742468869
0.7152,0.1039,0.00822764153065808,0.0193806546578236
0.6895,0.0941,0.0117537736152258,0.0208714742468869
0.7075,0.1009,0.0156716981536344,0.0311415647493233
0.766,0.1253,0.0211567925074065,0.0346201437904711
0.8963,0.1925,0.0212873899920201,0.0528412721012454
1.0018,0.2607,0.0202426101151112,0.0940872807319981
1.0455,0.2929,0.0272948742842467,0.162168041965891
1.307,0.5387,0.0322575786995642,0.152560537947483
1.387,0.6334,0.0317351887611097,0.273813864524635
1.3056,0.5371,0.0339553459995413,0.37535524320195
1.4357,0.696,0.0369590881456546,0.433828500417435
1.5476,0.8541,0.0344777359379958,0.57562200799946
1.5698,0.888,0.0300374214611327,0.957603116041692
1.5229,0.8174,0.0253359120150423,1
1.5776,0.9,0.0253359120150423,1
