susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0105694134007524,0.000775624482986897
0.3537,0.0152,0.0102603662252918,0.000542937138090828
0.3998,0.0213,0.00574827746356709,0.00736843258837552
0.4318,0.0262,0.00463570763190895,0.00403324731153186
0.6081,0.0668,0.00370856610552716,0.00465374689792138
0.7004,0.0982,0.00259599627386901,0.0097728684856349
0.7152,0.1039,0.00389399441080352,0.00907480645094669
0.6895,0.0941,0.00556284915829074,0.0097728684856349
0.7075,0.1009,0.00741713221105432,0.0145817402801537
0.766,0.1253,0.0100131284849233,0.0162105516944261
0.8963,0.1925,0.0100749379200154,0.024742421007282
1.0018,0.2607,0.00958046243927849,0.0440554706336557
1.0455,0.2929,0.0129181719342529,0.0759336368844172
1.307,0.5387,0.0152669304677535,0.0714350148830932
1.387,0.6334,0.015019692727385,0.128210727037734
1.3056,0.5371,0.016070453123951,0.175756507844831
1.4357,0.696,0.0174920701310698,0.203136052094268
1.5476,0.8541,0.0163176908643195,0.269529507837947
1.5698,0.888,0.0142161700711874,0.448388513614725
1.5229,0.8174,0.0119910304078711,0.738084258010331
1.5776,0.9,0.0119910304078711,0.617319526009271
