susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0122930639555134,0.000934271309112832
0.3537,0.0152,0.0119336176410247,0.000653989916378982
0.3998,0.0213,0.00668570144948977,0.0088755774365719
0.4318,0.0262,0.00539169471733046,0.00485821080738673
0.6081,0.0668,0.00431335577386436,0.00560562785467699
0.7004,0.0982,0.00301934904170506,0.0117718184948217
0.7152,0.1039,0.00452902356255758,0.0109309743166201
0.6895,0.0941,0.00647003366079655,0.0117718184948217
0.7075,0.1009,0.00862671154772873,0.0175643006113212
0.766,0.1253,0.0116460605894338,0.0195262703604582
0.8963,0.1925,0.0117179498523315,0.0298032547606993
1.0018,0.2607,0.0111428357491496,0.0530666103576089
1.0455,0.2929,0.0150248559456275,0.0914651611621463
1.307,0.5387,0.0177566479357416,0.0860463875692918
1.387,0.6334,0.0174690908841507,0.154435047396351
1.3056,0.5371,0.0186912083534122,0.211705878644968
1.4357,0.696,0.0203446614000603,0.244685655856651
1.5476,0.8541,0.0189787654050032,0.324659279916709
1.5698,0.888,0.0165345304664801,0.540102243798128
1.5229,0.8174,0.0139465170021614,0.889052577751771
1.5776,0.9,0.0139465170021614,0.743586534922903
