susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.016162056019585,0.00124981363723232
0.3537,0.0152,0.0156894812821702,0.000874869546062624
0.3998,0.0213,0.00878989011591464,0.011873229553707
0.4318,0.0262,0.00708862106122149,0.00649903091360806
0.6081,0.0668,0.00567089684897719,0.00749888182339392
0.7004,0.0982,0.00396962779428403,0.0157476518291272
0.7152,0.1039,0.00595444169142605,0.0146228195556181
0.6895,0.0941,0.00850634527346578,0.0157476518291272
0.7075,0.1009,0.0113417936979544,0.0234964963799676
0.766,0.1253,0.0153114214922384,0.0261211050181555
0.8963,0.1925,0.0154059364397214,0.039869055027711
1.0018,0.2607,0.0146498168598577,0.0709894145947958
1.0455,0.2929,0.0197536240239372,0.122356755085044
1.307,0.5387,0.0233451920282894,0.115107835989097
1.387,0.6334,0.0229671322383576,0.206594194234502
1.3056,0.5371,0.0245738863455678,0.283207770196844
1.4357,0.696,0.0267477301376757,0.327326191591145
1.5476,0.8541,0.0249519461354996,0.434310238938231
1.5698,0.888,0.0217384379210792,0.722517263684004
1.5229,0.8174,0.0183358998116929,1
1.5776,0.9,0.0183358998116929,0.994726673873203
