susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.019775059311971,0.00181668890255774
0.3537,0.0152,0.0191968412034338,0.00127168223179042
0.3998,0.0213,0.0107548568187912,0.0172585445742985
0.4318,0.0262,0.00867327162805745,0.00944678229330025
0.6081,0.0668,0.00693861730244596,0.0109001334153464
0.7004,0.0982,0.00485703211171217,0.0228902801722275
0.7152,0.1039,0.00728554816756826,0.0212552601599256
0.6895,0.0941,0.0104079259536689,0.0228902801722275
0.7075,0.1009,0.0138772346048919,0.0341537513680855
0.766,0.1253,0.0187342667166041,0.0379687980634568
0.8963,0.1925,0.0188499103383115,0.0579523759915919
1.0018,0.2607,0.0179247613646521,0.10318792966528
1.0455,0.2929,0.0241695169368534,0.177853843560403
1.307,0.5387,0.0285639745617359,0.167317047925568
1.387,0.6334,0.0281014000749061,0.300298675592795
1.3056,0.5371,0.0300673416439325,0.411661705319584
1.4357,0.696,0.0327271449432034,0.475790823579873
1.5476,0.8541,0.0305299161307622,0.631299393638815
1.5698,0.888,0.0265980329927095,1
1.5229,0.8174,0.0224348626112419,1
1.5776,0.9,0.0224348626112419,1
