susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0214833378761867,0.00156863651982548
0.3537,0.0152,0.0208551701020292,0.00109804556387784
0.3998,0.0213,0.0116839205993296,0.0149020469383421
0.4318,0.0262,0.00942251661236261,0.0081569099030925
0.6081,0.0668,0.00753801328989009,0.00941181911895289
0.7004,0.0982,0.00527660930292306,0.0197648201498011
0.7152,0.1039,0.00791491395438459,0.0183530472819581
0.6895,0.0941,0.0113070199348351,0.0197648201498011
0.7075,0.1009,0.0150760265797802,0.0294903665727191
0.766,0.1253,0.0203526358827032,0.0327845032643526
0.8963,0.1925,0.0204782694375347,0.0500395049824329
1.0018,0.2607,0.0194732009988827,0.0890985543260874
1.0455,0.2929,0.0262574129597838,0.153569515290915
1.307,0.5387,0.0310314880433809,0.144471423475927
1.387,0.6334,0.0305289538240549,0.259295616727152
1.3056,0.5371,0.0326647242561904,0.355453035392454
1.4357,0.696,0.0355542960173149,0.410825904542294
1.5476,0.8541,0.0331672584755164,0.545101190639355
1.5698,0.888,0.0288957176112453,0.906828772111111
1.5229,0.8174,0.0243729096373113,1
1.5776,0.9,0.0243729096373113,1
