susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0357078968627915,0.00264859728960718
0.3537,0.0152,0.0346638063112479,0.00185401810272502
0.3998,0.0213,0.0194200842587112,0.0251616742512682
0.4318,0.0262,0.0156613582731542,0.0137727059059573
0.6081,0.0668,0.0125290866185234,0.0158915837376431
0.7004,0.0982,0.00877036063296635,0.0333723258490504
0.7152,0.1039,0.0131555409494495,0.030988588288404
0.6895,0.0941,0.018793629927785,0.0333723258490504
0.7075,0.1009,0.0250581732370467,0.049793629044615
0.766,0.1253,0.033828533870013,0.05535568335279
0.8963,0.1925,0.0340373519803218,0.084490253538469
1.0018,0.2607,0.032366807097852,0.150440326049688
1.0455,0.2929,0.043642985054523,0.259297674652543
1.307,0.5387,0.0515780732462545,0.243935810372821
1.387,0.6334,0.0507428008050196,0.437813131972067
1.3056,0.5371,0.0542927086802679,0.600172145824987
1.4357,0.696,0.0590955252173685,0.69366763014812
1.5476,0.8541,0.0551279811215027,0.920387558138495
1.5698,0.888,0.0480281653710062,1
1.5229,0.8174,0.0405107133998922,1
1.5776,0.9,0.0405107133998922,1
