susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0266112368465719,0.00202905794397084
0.3537,0.0152,0.0258331305060288,0.00142034056077959
0.3998,0.0213,0.0144727779341005,0.019276050467723
0.4318,0.0262,0.0116715951081456,0.0105511013086484
0.6081,0.0668,0.00933727608651644,0.012174347663825
0.7004,0.0982,0.00653609326056151,0.0255661300940325
0.7152,0.1039,0.00980413989084226,0.0237399779444588
0.6895,0.0941,0.0140059141297747,0.0255661300940325
0.7075,0.1009,0.0186745521730329,0.0381462893466517
0.766,0.1253,0.0252106454335944,0.0424073110289905
0.8963,0.1925,0.025366266701703,0.0647269484126697
1.0018,0.2607,0.0241212965568341,0.115250491217544
1.0455,0.2929,0.0325248450346989,0.198644772714745
1.307,0.5387,0.038438453222826,0.186876236639714
1.387,0.6334,0.0378159681503916,0.335403278138379
1.3056,0.5371,0.0404615297082379,0.459784530103792
1.4357,0.696,0.0440408188747359,0.531410275525962
1.5476,0.8541,0.0410840147806723,0.705097635529866
1.5698,0.888,0.0357928916649797,1
1.5229,0.8174,0.0301905260130698,1
1.5776,0.9,0.0301905260130698,1
