susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00771637137772365,0.00135161731223911
0.3537,0.0152,0.00749074648363817,0.000946132118567379
0.3998,0.0213,0.00419662302999006,0.0128403644662716
0.4318,0.0262,0.0033843734112823,0.00702841002364339
0.6081,0.0668,0.00270749872902584,0.00810970387343468
0.7004,0.0982,0.00189524911031809,0.0170303781342128
0.7152,0.1039,0.00284287366547714,0.0158139225531976
0.6895,0.0941,0.00406124809353877,0.0170303781342128
0.7075,0.1009,0.00541499745805169,0.0254104054700953
0.766,0.1253,0.00731024656836978,0.0282488018257975
0.8963,0.1925,0.00735537154718688,0.0431165922604277
1.0018,0.2607,0.0069943717166501,0.0767718633351816
1.0455,0.2929,0.00943112057277336,0.132323334868209
1.307,0.5387,0.0111458697678231,0.124483954457222
1.387,0.6334,0.0109653698525547,0.223422341713125
1.3056,0.5371,0.0117324944924453,0.306276482953383
1.4357,0.696,0.0127703690052386,0.353988574075424
1.5476,0.8541,0.0119129944077137,0.469687016003092
1.5698,0.888,0.0103787451279324,0.781369968205431
1.5229,0.8174,0.0087542458905169,1
1.5776,0.9,0.0087542458905169,1
