susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0326845103817415,0.00252749691944273
0.3537,0.0152,0.0317288229436789,0.00176924784360991
0.3998,0.0213,0.0177757863479647,0.0240112207347059
0.4318,0.0262,0.0143353115709393,0.0131429839811022
0.6081,0.0668,0.0114682492567514,0.0151649815166564
0.7004,0.0982,0.00802777447972598,0.0318464611849784
0.7152,0.1039,0.012041661719589,0.0295717139574799
0.6895,0.0941,0.0172023738851271,0.0318464611849784
0.7075,0.1009,0.0229364985135028,0.0475169420855233
0.766,0.1253,0.0309642729932288,0.052824685616353
0.8963,0.1925,0.0311554104808413,0.080627151730223
1.0018,0.2607,0.0296263105799411,0.143561825024347
1.0455,0.2929,0.0399477349110174,0.247441948413443
1.307,0.5387,0.0472109594402933,0.232782466280675
1.387,0.6334,0.0464464094898432,0.417795240783883
1.3056,0.5371,0.0496957467792561,0.572730801945722
1.4357,0.696,0.0540919089943441,0.661951443202051
1.5476,0.8541,0.0504602967297062,0.878305179506348
1.5698,0.888,0.0439616221508804,1
1.5229,0.8174,0.0370806725968295,1
1.5776,0.9,0.0370806725968295,1
