susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0245446336760934,0.00179216139372531
0.3537,0.0152,0.0238269543288393,0.00125451297560772
0.3998,0.0213,0.013348835858928,0.0170255332403904
0.4318,0.0262,0.0107651902088129,0.0093192392473716
0.6081,0.0668,0.00861215216705033,0.0107529683623518
0.7004,0.0982,0.00602850651693523,0.0225812335609389
0.7152,0.1039,0.00904275977540285,0.0209682883065861
0.6895,0.0941,0.0129182282505755,0.0225812335609389
0.7075,0.1009,0.0172243043341007,0.0336926342020358
0.766,0.1253,0.0232528108510359,0.0374561731288589
0.8963,0.1925,0.0233963467204867,0.0571699484598373
1.0018,0.2607,0.02224805976488,0.101794767163598
1.0455,0.2929,0.0299989967152253,0.175452600445708
1.307,0.5387,0.0354533597543572,0.165058064362101
1.387,0.6334,0.0348792162765538,0.296244278382793
1.3056,0.5371,0.0373193260572181,0.406103771818155
1.4357,0.696,0.0406206510545874,0.469367069016658
1.5476,0.8541,0.0378934695350215,0.622776084319545
1.5698,0.888,0.0330132499736929,1
1.5229,0.8174,0.0278459586734627,1
1.5776,0.9,0.0278459586734627,1
