susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0128891750490296,0.000913800653198782
0.3537,0.0152,0.0125122985856076,0.000639660457239147
0.3998,0.0213,0.00700990221964766,0.00868110620538842
0.4318,0.0262,0.00565314695132875,0.00475176339663366
0.6081,0.0668,0.004522517561063,0.00548280391919269
0.7004,0.0982,0.0031657622927441,0.0115138882303046
0.7152,0.1039,0.00474864343911615,0.0106914676424257
0.6895,0.0941,0.00678377634159451,0.0115138882303046
0.7075,0.1009,0.00904503512212601,0.0171794522801371
0.766,0.1253,0.0122107974148701,0.0190984336518545
0.8963,0.1925,0.0122861727075545,0.0291502408370411
1.0018,0.2607,0.0116831703660794,0.0519038771016908
1.0455,0.2929,0.0157534361710361,0.0894610839481607
1.307,0.5387,0.0186176972930427,0.0841610401596078
1.387,0.6334,0.0183161961223052,0.151051247973759
1.3056,0.5371,0.0195975760979397,0.207067228014844
1.4357,0.696,0.0213312078296805,0.239324391072761
1.5476,0.8541,0.0198990772686772,0.317545726986577
1.5698,0.888,0.0173363173174082,0.528268157614216
1.5229,0.8174,0.0146228067807704,0.86957270158396
1.5776,0.9,0.0146228067807704,0.72729393988091
