susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0135630787909207,0.00100915114163883
0.3537,0.0152,0.0131664975397242,0.000706405799147183
0.3998,0.0213,0.00737641127225512,0.00958693584556891
0.4318,0.0262,0.00594871876794768,0.00524758593652193
0.6081,0.0668,0.00475897501435814,0.006054906849833
0.7004,0.0982,0.0033312825100507,0.0127153043846493
0.7152,0.1039,0.00499692376507605,0.0118070683571743
0.6895,0.0941,0.00713846252153721,0.0127153043846493
0.7075,0.1009,0.00951795002871628,0.0189720414628101
0.766,0.1253,0.012849232538767,0.0210912588602516
0.8963,0.1925,0.0129285487890063,0.0321919214182788
1.0018,0.2607,0.0122940187870919,0.0573197848450857
1.0455,0.2929,0.0165770963000142,0.0987958967664417
1.307,0.5387,0.0195911138091077,0.0929428201449365
1.387,0.6334,0.0192738488081505,0.166812683712899
1.3056,0.5371,0.0206222250622186,0.228673648695359
1.4357,0.696,0.0224464988177226,0.26429668399521
1.5476,0.8541,0.0209394900631758,0.350680021719494
1.5698,0.888,0.0182427375550395,0.583390274981409
1.5229,0.8174,0.0153873525464247,0.960308226383513
1.5776,0.9,0.0153873525464247,0.803183393630347
