susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0154827664954613,0.00114841861264113
0.3537,0.0152,0.0150300540248338,0.000803893028848792
0.3998,0.0213,0.00842045195367194,0.0109099768200907
0.4318,0.0262,0.00679068705941286,0.00597177678573388
0.6081,0.0668,0.00543254964753028,0.00689051167584679
0.7004,0.0982,0.0038027847532712,0.0144700745192783
0.7152,0.1039,0.0057041771299068,0.0134364977679012
0.6895,0.0941,0.00814882447129543,0.0144700745192783
0.7075,0.1009,0.0108650992950606,0.0215902699176533
0.766,0.1253,0.0146678840483318,0.0240019490041996
0.8963,0.1925,0.0147584265424573,0.0366345537432521
1.0018,0.2607,0.0140340865894532,0.0652301771980163
1.0455,0.2929,0.0189233812722305,0.112430182177567
1.307,0.5387,0.0223639960489997,0.105769354224248
1.387,0.6334,0.0220018260724977,0.189833596669579
1.3056,0.5371,0.0235410484726312,0.26023165762448
1.4357,0.696,0.0256235258375178,0.300770834650712
1.5476,0.8541,0.0239032184491333,0.399075467892793
1.5698,0.888,0.0208247736488661,0.663900799967838
1.5229,0.8174,0.0175652438603479,1
1.5776,0.9,0.0175652438603479,0.914026373801076
