susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.013528639519751,0.000987812887203096
0.3537,0.0152,0.0131330652647875,0.000691469021042167
0.3998,0.0213,0.00735768114232071,0.00938422242842941
0.4318,0.0262,0.00593361382445218,0.0051366270134561
0.6081,0.0668,0.00474689105956175,0.00592687732321857
0.7004,0.0982,0.00332282374169322,0.012446442378759
0.7152,0.1039,0.00498423561253983,0.0115574107802762
0.6895,0.0941,0.00712033658934262,0.012446442378759
0.7075,0.1009,0.00949378211912349,0.0185708822794182
0.766,0.1253,0.0128166058608167,0.0206452893425447
0.8963,0.1925,0.0128957207118094,0.0315112311017787
1.0018,0.2607,0.0122628019038678,0.0561077719931358
1.0455,0.2929,0.0165350038574734,0.0967068816571831
1.307,0.5387,0.0195413681951959,0.0909775669114051
1.387,0.6334,0.0192249087912251,0.163285470254672
1.3056,0.5371,0.0205698612581009,0.223838400240221
1.4357,0.696,0.0223895028309329,0.258708195158491
1.5476,0.8541,0.0208863206620717,0.343264978303076
1.5698,0.888,0.01819641572832,0.57105463009211
1.5229,0.8174,0.015348281092583,0.940002743462466
1.5776,0.9,0.015348281092583,0.786200276924944
