susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0124694299788346,0.00155968986126284
0.3537,0.0152,0.0121048267630792,0.00109178290288399
0.3998,0.0213,0.00678161981305039,0.014817053681997
0.4318,0.0262,0.00546904823633096,0.00811038727856678
0.6081,0.0668,0.00437523858906477,0.00935813916757705
0.7004,0.0982,0.00306266701234534,0.0196520922519118
0.7152,0.1039,0.00459400051851801,0.0182483713767753
0.6895,0.0941,0.00656285788359715,0.0196520922519118
0.7075,0.1009,0.00875047717812954,0.0293221693917414
0.766,0.1253,0.0118131441904749,0.0325975181003934
0.8963,0.1925,0.011886064833626,0.0497541065742847
1.0018,0.2607,0.0113026996884173,0.0885903841197294
1.0455,0.2929,0.0152404144185756,0.152693637417632
1.307,0.5387,0.0180113988583166,0.143647436222308
1.387,0.6334,0.0177197162857123,0.257816734066748
1.3056,0.5371,0.0189593672192807,0.35342572256216
1.4357,0.696,0.0206365420117555,0.408482774664738
1.5476,0.8541,0.019251049791885,0.541992226788838
1.5698,0.888,0.0167717479247483,0.901656708796049
1.5229,0.8174,0.0141466047713094,1
1.5776,0.9,0.0141466047713094,1
