susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00915095806980037,0.000667435816188167
0.3537,0.0152,0.0088833861964144,0.000467205071331717
0.3998,0.0213,0.00497683684497915,0.00634064025378759
0.4318,0.0262,0.00401357810078964,0.00347066624417847
0.6081,0.0668,0.00321086248063171,0.004004614897129
0.7004,0.0982,0.0022476037364422,0.00840969128397091
0.7152,0.1039,0.0033714056046633,0.00780899904940156
0.6895,0.0941,0.00481629372094756,0.00840969128397091
0.7075,0.1009,0.00642172496126342,0.0125477933443375
0.766,0.1253,0.00866932869770562,0.0139494085583327
0.8963,0.1925,0.00872284307238281,0.0212912025364025
1.0018,0.2607,0.00829472807496525,0.0379103543594879
1.0455,0.2929,0.0111845043075338,0.0653419664048216
1.307,0.5387,0.0132180505452672,0.0614708386709302
1.387,0.6334,0.0130039930465584,0.110327140415904
1.3056,0.5371,0.0139137374160707,0.151240955948239
1.4357,0.696,0.0151445680336462,0.174801440259681
1.5476,0.8541,0.0141277949147795,0.231933946125388
1.5698,0.888,0.0123083061757549,0.385844645338379
1.5229,0.8174,0.0103817886873759,0.63513192268466
1.5776,0.9,0.0103817886873759,0.531212166104162
