susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0284629353986001,0.00216879975448402
0.3537,0.0152,0.0276306858255416,0.00151815982813882
0.3998,0.0213,0.0154798420588878,0.0206035976675982
0.4318,0.0262,0.0124837435958772,0.0112777587233169
0.6081,0.0668,0.00998699487670179,0.0130127985269041
0.7004,0.0982,0.00699089641369125,0.0273268769064987
0.7152,0.1039,0.0104863446205369,0.0253749571274631
0.6895,0.0941,0.0149804923150527,0.0273268769064987
0.7075,0.1009,0.0199739897534036,0.0407734353842996
0.766,0.1253,0.0269648861670948,0.0453279148687161
0.8963,0.1925,0.0271313360817065,0.0691847121680403
1.0018,0.2607,0.025799736764813,0.123187826054692
1.0455,0.2929,0.0347880321538446,0.212325495963986
1.307,0.5387,0.041113128909089,0.199746457387978
1.387,0.6334,0.0404473292506422,0.358502599416209
1.3056,0.5371,0.0432769777990411,0.491450024366079
1.4357,0.696,0.0471053258351101,0.568008655699366
1.5476,0.8541,0.0439427774574879,0.753657914683198
1.5698,0.888,0.0382834803606902,1
1.5229,0.8174,0.0322912834346691,1
1.5776,0.9,0.0322912834346691,1
