susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00938702669321652,0.000665509708047723
0.3537,0.0152,0.00911255222850259,0.000465856795633406
0.3998,0.0213,0.00510522504367916,0.00632234222645337
0.4318,0.0262,0.004117116970709,0.00346065048184816
0.6081,0.0668,0.0032936935765672,0.00399305824828634
0.7004,0.0982,0.00230558550359704,0.00838542232140131
0.7152,0.1039,0.00345837825539556,0.00778646358415836
0.6895,0.0941,0.0049405403648508,0.00838542232140131
0.7075,0.1009,0.0065873871531344,0.0125115825112972
0.766,0.1253,0.00889297265673144,0.0139091528981974
0.8963,0.1925,0.00894786754967423,0.0212297596867224
1.0018,0.2607,0.00850870840613194,0.0378009514171107
1.0455,0.2929,0.0114730326250424,0.0651534004178721
1.307,0.5387,0.0135590385568683,0.0612934441111953
1.387,0.6334,0.0133394589850972,0.110008754740289
1.3056,0.5371,0.0142726721651245,0.150804499843614
1.4357,0.696,0.0155352547028086,0.174296992537699
1.5476,0.8541,0.0144922517368957,0.231264623546584
1.5698,0.888,0.0126258253768409,0.384731162222389
1.5229,0.8174,0.0106496092309006,0.633299038178213
1.5776,0.9,0.0106496092309006,0.529679176635183
