susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0349995517643598,0.00216771098024952
0.3537,0.0152,0.0339761730577995,0.00151739768617466
0.3998,0.0213,0.0190348439420202,0.0205932543123704
0.4318,0.0262,0.0153506805984034,0.0112720970972975
0.6081,0.0668,0.0122805444787227,0.0130062658814971
0.7004,0.0982,0.00859638113510591,0.0273131583511439
0.7152,0.1039,0.0128945717026589,0.0253622184689193
0.6895,0.0941,0.0184208167180841,0.0273131583511439
0.7075,0.1009,0.0245610889574454,0.0407529664286909
0.766,0.1253,0.0331574700925514,0.0453051594872149
0.8963,0.1925,0.0333621458338634,0.0691499802699596
1.0018,0.2607,0.031724739903367,0.123125983678173
1.0455,0.2929,0.0427772299342175,0.212218904966428
1.307,0.5387,0.0505549081040752,0.19964618128098
1.387,0.6334,0.049736205138827,0.358322625035245
1.3056,0.5371,0.0532156927411318,0.49120330812454
1.4357,0.696,0.0579232347913088,0.567723505727349
1.5476,0.8541,0.05403439570638,0.753279565636707
1.5698,0.888,0.0470754205017704,1
1.5229,0.8174,0.0397070938145368,1
1.5776,0.9,0.0397070938145368,1
