susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0122999469740356,0.0014738372321795
0.3537,0.0152,0.0119402994016953,0.00103168606252565
0.3998,0.0213,0.00668944484552811,0.0140014537057052
0.4318,0.0262,0.00539471358510331,0.00766395360733338
0.6081,0.0668,0.00431577086808265,0.00884302339307698
0.7004,0.0982,0.00302103960765786,0.0185703491254617
0.7152,0.1039,0.00453155941148678,0.0172438956165001
0.6895,0.0941,0.00647365630212398,0.0185703491254617
0.7075,0.1009,0.0086315417361653,0.0277081399649745
0.766,0.1253,0.0116525813438232,0.0308031981525515
0.8963,0.1925,0.0117245108582912,0.0470154077065259
1.0018,0.2607,0.0111490747425468,0.0837139547877954
1.0455,0.2929,0.0150332685238212,0.144288665030373
1.307,0.5387,0.0177665900736069,0.135740409083732
1.387,0.6334,0.0174788720157347,0.243625294479271
1.3056,0.5371,0.0187016737616915,0.333971516811874
1.4357,0.696,0.0203560525944565,0.38599797110781
1.5476,0.8541,0.0189893918195637,0.512158438182375
1.5698,0.888,0.0165437883276502,0.852025303922967
1.5229,0.8174,0.0139543258068006,1
1.5776,0.9,0.0139543258068006,1
