susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0165419930004228,0.00168853406859885
0.3537,0.0152,0.0160583089945625,0.00118197384801919
0.3998,0.0213,0.00899652250900187,0.0160410736516891
0.4318,0.0262,0.00725526008790473,0.00878037715671401
0.6081,0.0668,0.00580420807032379,0.0101312044115931
0.7004,0.0982,0.00406294564922665,0.0212755292643455
0.7152,0.1039,0.00609441847383998,0.0197558486026065
0.6895,0.0941,0.00870631210548568,0.0212755292643455
0.7075,0.1009,0.0116084161406476,0.0317444404896583
0.766,0.1253,0.0156713617898742,0.0352903620337159
0.8963,0.1925,0.0157680985910463,0.0538642367883032
1.0018,0.2607,0.0149942041816698,0.0959087350964146
1.0455,0.2929,0.0202179914449612,0.165307485315827
1.307,0.5387,0.0238939898894996,0.155513987717954
1.387,0.6334,0.0235070426848113,0.27911468153939
1.3056,0.5371,0.0251515683047364,0.382621819944499
1.4357,0.696,0.0273765147316939,0.442227072566038
1.5476,0.8541,0.0255385155094247,0.5867655888381
1.5698,0.888,0.0222494642695745,0.976141545056994
1.5229,0.8174,0.0187669394273802,1
1.5776,0.9,0.0187669394273802,1
