susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00298380302830741,0.00095404882309028
0.3537,0.0152,0.00289655732572532,0.000667834176163196
0.3998,0.0213,0.00162277006802684,0.00906346381935766
0.4318,0.0262,0.00130868553873132,0.00496105388006945
0.6081,0.0668,0.00104694843098506,0.00572429293854168
0.7004,0.0982,0.00073286390168954,0.0120210151709375
0.7152,0.1039,0.00109929585253431,0.0111623712301563
0.6895,0.0941,0.00157042264647759,0.0120210151709375
0.7075,0.1009,0.00209389686197011,0.0179361178740973
0.766,0.1253,0.00282676076365965,0.0199396204025868
0.8963,0.1925,0.00284420990417607,0.0304341574565799
1.0018,0.2607,0.00270461678004473,0.0541899731515279
1.0455,0.2929,0.00364687036793128,0.0934013797805384
1.307,0.5387,0.00430993770755515,0.0878678966066147
1.387,0.6334,0.00424014114548948,0.157704270456823
1.3056,0.5371,0.00453677653426858,0.216187463312257
1.4357,0.696,0.00493810676614618,0.249865386767344
1.5476,0.8541,0.00460657309633425,0.331531966023872
1.5698,0.888,0.00401330231877605,0.551535624628491
1.5229,0.8174,0.00338513326018502,0.90787286005271
1.5776,0.9,0.00338513326018502,0.759327458297554
