susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0216108428176354,0.00163102229429456
0.3537,0.0152,0.0209789468288156,0.00114171560600619
0.3998,0.0213,0.0117532653920473,0.0154947117957983
0.4318,0.0262,0.00947843983229622,0.00848131593033172
0.6081,0.0668,0.00758275186583697,0.00978613376576737
0.7004,0.0982,0.00530792630608588,0.0205508809081115
0.7152,0.1039,0.00796188945912882,0.0190829608432464
0.6895,0.0941,0.0113741277987555,0.0205508809081115
0.7075,0.1009,0.0151655037316739,0.0306632191327378
0.766,0.1253,0.0204734300377598,0.0340883659507563
0.8963,0.1925,0.0205998092355238,0.0520296111879965
1.0018,0.2607,0.0195887756534122,0.0926420663159311
1.0455,0.2929,0.0264132523326655,0.159677082611438
1.307,0.5387,0.0312156618476955,0.150217153304529
1.387,0.6334,0.0307101450566397,0.269607985246891
1.3056,0.5371,0.0328585914186269,0.369589651887148
1.4357,0.696,0.0357653129671977,0.427164738875746
1.5476,0.8541,0.0333641082096827,0.56678024726736
1.5698,0.888,0.0290672154857084,0.942893988331686
1.5229,0.8174,0.0245175643662062,1
1.5776,0.9,0.0245175643662062,1
