susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00617742947108578,0.00117152360157311
0.3537,0.0152,0.00599680287836398,0.000820066521101174
0.3998,0.0213,0.0033596546246256,0.0111294742149445
0.4318,0.0262,0.0027093988908271,0.00609192272818015
0.6081,0.0668,0.00216751911266168,0.00702914160943864
0.7004,0.0982,0.00151726337886318,0.0147611973798211
0.7152,0.1039,0.00227589506829476,0.0137068261384053
0.6895,0.0941,0.00325127866899252,0.0147611973798211
0.7075,0.1009,0.00433503822532336,0.0220246437095744
0.766,0.1253,0.00585230160418653,0.0244848432728779
0.8963,0.1925,0.00588842692273089,0.0373716028901821
1.0018,0.2607,0.005599424374376,0.0665425405693524
1.0455,0.2929,0.00755019157577151,0.114692160594007
1.307,0.5387,0.00892295368045724,0.107897323704883
1.387,0.6334,0.0087784524062798,0.193652851340034
1.3056,0.5371,0.00939258282153394,0.265467248116466
1.4357,0.696,0.0102234651480542,0.306822031251997
1.5476,0.8541,0.00953708409571139,0.407104451546654
1.5698,0.888,0.0083088232652031,0.677257794069413
1.5229,0.8174,0.00700831179760609,1
1.5776,0.9,0.00700831179760609,0.932415634492035
