susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0168400895891566,0.00125297477778967
0.3537,0.0152,0.016347689308772,0.000877082344452769
0.3998,0.0213,0.00915864521515537,0.0119032603890019
0.4318,0.0262,0.00738600420577046,0.00651546884450628
0.6081,0.0668,0.00590880336461637,0.00751784866673802
0.7004,0.0982,0.00413616235523146,0.0157874822001498
0.7152,0.1039,0.00620424353284719,0.0146598049001391
0.6895,0.0941,0.00886320504692455,0.0157874822001498
0.7075,0.1009,0.0118176067292327,0.0235559258224458
0.766,0.1253,0.0159537690844642,0.0261871728558041
0.8963,0.1925,0.0160522491405411,0.0399698954114905
1.0018,0.2607,0.0152644086919256,0.0711689673784533
1.0455,0.2929,0.0205823317200803,0.122666230745609
1.307,0.5387,0.024324573851004,0.115398977034429
1.387,0.6334,0.0239306536266963,0.207116730768632
1.3056,0.5371,0.0256048145800043,0.283924084647139
1.4357,0.696,0.0278698558697739,0.328154094303115
1.5476,0.8541,0.025998734804312,0.43540873528191
1.5698,0.888,0.0226504128976961,0.724344719040208
1.5229,0.8174,0.0191051308789263,1
1.5776,0.9,0.0191051308789263,0.997242625642798
