susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0058050721082624,0.00118066876730517
0.3537,0.0152,0.00563533315772841,0.000826468137113618
0.3998,0.0213,0.00315714447993218,0.0112163532893991
0.4318,0.0262,0.00254608425800982,0.00613947758998688
0.6081,0.0668,0.00203686740640786,0.00708401260383101
0.7004,0.0982,0.0014258071844855,0.0148764264680451
0.7152,0.1039,0.00213871077672825,0.0138138245774705
0.6895,0.0941,0.00305530110961179,0.0148764264680451
0.7075,0.1009,0.00407373481281572,0.0221965728253372
0.766,0.1253,0.00549954199730122,0.024675977236678
0.8963,0.1925,0.00553348978740802,0.0376633336770349
1.0018,0.2607,0.00526190746655363,0.0670619859829336
1.0455,0.2929,0.00709508813232071,0.115587472319176
1.307,0.5387,0.00838510415637902,0.108739593468806
1.387,0.6334,0.00824931299595183,0.195164547235544
1.3056,0.5371,0.00882642542776739,0.267539542671351
1.4357,0.696,0.00960722460022373,0.309217150157224
1.5476,0.8541,0.00896221658819458,0.410282396638546
1.5698,0.888,0.00780799172456346,0.682544614379118
1.5229,0.8174,0.00658587128071874,1
1.5776,0.9,0.00658587128071874,0.939694271898184
