susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.003231398218271,0.000994381133571211
0.3537,0.0152,0.00313691289025138,0.000696066793499848
0.3998,0.0213,0.00175742710116493,0.00944662076892651
0.4318,0.0262,0.0014172799202943,0.0051707818945703
0.6081,0.0668,0.00113382393623544,0.00596628680142727
0.7004,0.0982,0.000793676755364806,0.0125292022829973
0.7152,0.1039,0.00119051513304721,0.0116342592627832
0.6895,0.0941,0.00170073590435316,0.0125292022829973
0.7075,0.1009,0.00226764787247087,0.0186943653111388
0.766,0.1253,0.00306132462783568,0.0207825656916383
0.8963,0.1925,0.0030802216934396,0.0317207581609216
1.0018,0.2607,0.00292904516860821,0.0564808483868448
1.0455,0.2929,0.00394948671122011,0.0973499129766216
1.307,0.5387,0.00466757520416922,0.0915825024019085
1.387,0.6334,0.00459198694175352,0.164371201379321
1.3056,0.5371,0.00491323705702023,0.225326764867236
1.4357,0.696,0.00534786956591048,0.2604284188823
1.5476,0.8541,0.00498882531943592,0.345547443915996
1.5698,0.888,0.00434632508890251,0.574851733317517
1.5229,0.8174,0.00366603072716125,0.946253086706364
1.5776,0.9,0.00366603072716125,0.791427944209327
