susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.012804875059614,0.00156300012155082
0.3537,0.0152,0.0124304635081633,0.00109410008508558
0.3998,0.0213,0.00696405485698305,0.0148485011547328
0.4318,0.0262,0.00561617327176052,0.00812760063206428
0.6081,0.0668,0.00449293861740842,0.00937800072930494
0.7004,0.0982,0.00314505703218589,0.0196938015315404
0.7152,0.1039,0.00471758554827884,0.0182871014221446
0.6895,0.0941,0.00673940792611263,0.0196938015315404
0.7075,0.1009,0.00898587723481684,0.0293844022851555
0.766,0.1253,0.0121309342670027,0.0326667025404122
0.8963,0.1925,0.0122058165772929,0.0498597038774713
1.0018,0.2607,0.0116067580949717,0.0887784069040868
1.0455,0.2929,0.0156504028506393,0.153017711899826
1.307,0.5387,0.0184959306416647,0.143952311194831
1.387,0.6334,0.0181964014005041,0.258363920092351
1.3056,0.5371,0.0194694006754365,0.354175827543417
1.4357,0.696,0.0211916938121097,0.409349731834161
1.5476,0.8541,0.019768929916597,0.543142542238911
1.5698,0.888,0.0172229313667323,0.903570370268531
1.5229,0.8174,0.0145271681962872,1
1.5776,0.9,0.0145271681962872,1
