susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0234816895287943,0.00194237587744814
0.3537,0.0152,0.0227950904197653,0.0013596631142137
0.3998,0.0213,0.0127707434279408,0.0184525708357574
0.4318,0.0262,0.0102989866354361,0.0101003545627303
0.6081,0.0668,0.00823918930834889,0.0116542552646889
0.7004,0.0982,0.00576743251584422,0.0244739360558466
0.7152,0.1039,0.00865114877376634,0.0227257977661433
0.6895,0.0941,0.0123587839625233,0.0244739360558466
0.7075,0.1009,0.0164783786166978,0.0365166664960251
0.766,0.1253,0.022245811132542,0.0405956558386662
0.8963,0.1925,0.0223831309543478,0.0619617904905957
1.0018,0.2607,0.0212845723799013,0.110326949839055
1.0455,0.2929,0.0286998427574153,0.190158598402173
1.307,0.5387,0.0339179959860363,0.178892818312974
1.387,0.6334,0.033368716698813,0.321074732542178
1.3056,0.5371,0.0357031536695119,0.440142373829749
1.4357,0.696,0.0388615095710456,0.508708242303669
1.5476,0.8541,0.0362524329567351,0.67497561741323
1.5698,0.888,0.0315835590153374,1
1.5229,0.8174,0.0266400454303281,1
1.5776,0.9,0.0266400454303281,1
