susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0250459784901189,0.00198458404915462
0.3537,0.0152,0.0243136399377763,0.00138920883440824
0.3998,0.0213,0.0136214970735734,0.0188535484669689
0.4318,0.0262,0.0109850782851399,0.010319837055604
0.6081,0.0668,0.0087880626281119,0.0119075042949277
0.7004,0.0982,0.00615164383967833,0.0250057590193483
0.7152,0.1039,0.00922746575951749,0.0232196333751091
0.6895,0.0941,0.0131820939421678,0.0250057590193483
0.7075,0.1009,0.0175761252562238,0.0373101801241069
0.766,0.1253,0.0237277690959021,0.0414778066273316
0.8963,0.1925,0.0238742368063707,0.0633082311680325
1.0018,0.2607,0.0227024951226224,0.112724373991983
1.0455,0.2929,0.0306117514879231,0.194290778412238
1.307,0.5387,0.0361775244857273,0.182780190927141
1.387,0.6334,0.0355916536438532,0.328051743325259
1.3056,0.5371,0.0380816047218182,0.449706745538438
1.4357,0.696,0.0414503620625945,0.519762562473596
1.5476,0.8541,0.0386674755636924,0.689642957081232
1.5698,0.888,0.0336875734077623,1
1.5229,0.8174,0.0284147358308951,1
1.5776,0.9,0.0284147358308951,1
