susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00847409249809521,0.00136963768966098
0.3537,0.0152,0.00822631201569476,0.000958746382762685
0.3998,0.0213,0.00460871697264827,0.0130115580517793
0.4318,0.0262,0.00371670723600667,0.00712211598623709
0.6081,0.0668,0.00297336578880534,0.00821782613796587
0.7004,0.0982,0.00208135605216374,0.0172574348897283
0.7152,0.1039,0.0031220340782456,0.0160247609690335
0.6895,0.0941,0.004460048683208,0.0172574348897283
0.7075,0.1009,0.00594673157761067,0.0257491885656264
0.766,0.1253,0.00802808762977441,0.0286254277139145
0.8963,0.1925,0.0080776437262545,0.0436914423001852
1.0018,0.2607,0.00768119495441379,0.0777954207727436
1.0455,0.2929,0.0103572241643386,0.13408752981781
1.307,0.5387,0.012240355830582,0.126143631217776
1.387,0.6334,0.0120421314446616,0.22640111010096
1.3056,0.5371,0.0128845850848231,0.310359900477178
1.4357,0.696,0.0140243753038652,0.35870811092221
1.5476,0.8541,0.0130828094707435,0.47594909715719
1.5698,0.888,0.0113979021904205,0.791787548393012
1.5229,0.8174,0.00961388271713726,1
1.5776,0.9,0.00961388271713726,1
