susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0258307456879277,0.00196954692632154
0.3537,0.0152,0.0250754607262924,0.00137868284842508
0.3998,0.0213,0.0140483002864168,0.0187106958000546
0.4318,0.0262,0.0113292744245297,0.010241644016872
0.6081,0.0668,0.00906341953962375,0.0118172815579292
0.7004,0.0982,0.00634439367773663,0.0248162912716514
0.7152,0.1039,0.00951659051660494,0.023043699037962
0.6895,0.0941,0.0135951293094356,0.0248162912716514
0.7075,0.1009,0.0181268390792475,0.037027482214845
0.766,0.1253,0.0244712327569841,0.0411635307601202
0.8963,0.1925,0.0246222897493112,0.0628285469496571
1.0018,0.2607,0.0234138338106947,0.111870265415064
1.0455,0.2929,0.0315709113963561,0.192818644086879
1.307,0.5387,0.0373110771047844,0.181395271914214
1.387,0.6334,0.0367068491354762,0.325566106920951
1.3056,0.5371,0.0392748180050363,0.446299333504461
1.4357,0.696,0.0427491288285587,0.515824340003612
1.5476,0.8541,0.0398790459743445,0.684417556896735
1.5698,0.888,0.0347431082352244,1
1.5229,0.8174,0.0293050565114501,1
1.5776,0.9,0.0293050565114501,1
