susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00685812052400533,0.00125906723123601
0.3537,0.0152,0.00665759068412214,0.000881347061865208
0.3998,0.0213,0.00372985502182746,0.0119611386967421
0.4318,0.0262,0.00300794759824795,0.00654714960242726
0.6081,0.0668,0.00240635807859836,0.00755440338741607
0.7004,0.0982,0.00168445065501885,0.0158642471135737
0.7152,0.1039,0.00252667598252828,0.0147310866054613
0.6895,0.0941,0.00360953711789754,0.0158642471135737
0.7075,0.1009,0.00481271615719672,0.023670463947237
0.766,0.1253,0.00649716681221558,0.0263145051328326
0.8963,0.1925,0.00653727278019222,0.0401642446764288
1.0018,0.2607,0.0062164250363791,0.0715150187342055
1.0455,0.2929,0.00838214730711763,0.123262681938006
1.307,0.5387,0.00990617409022992,0.115960091996837
1.387,0.6334,0.00974575021832337,0.208123813323313
1.3056,0.5371,0.0104275516739262,0.28530463459808
1.4357,0.696,0.0113499889373889,0.329749707860712
1.5476,0.8541,0.0105879755458328,0.437525862854514
1.5698,0.888,0.00922437263462706,0.727866766377538
1.5229,0.8174,0.00778055778746804,1
1.5776,0.9,0.00778055778746804,1
