susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0183203195976722,0.00134223542350242
0.3537,0.0152,0.0177846377380912,0.000939564796451696
0.3998,0.0213,0.0099636825882077,0.012751236523273
0.4318,0.0262,0.00803522789371589,0.0069796242022126
0.6081,0.0668,0.00642818231497271,0.00805341254101454
0.7004,0.0982,0.0044997276204809,0.0169121663361305
0.7152,0.1039,0.00674959143072135,0.0157041544549783
0.6895,0.0941,0.00964227347245906,0.0169121663361305
0.7075,0.1009,0.0128563646299454,0.0252340259618455
0.766,0.1253,0.0173560922504263,0.0280527203512006
0.8963,0.1925,0.0174632286223425,0.0428173100097273
1.0018,0.2607,0.0166061376470128,0.0762389720549376
1.0455,0.2929,0.0223915017304883,0.131404847960887
1.307,0.5387,0.0264626838633043,0.123619882504573
1.387,0.6334,0.0260341383756395,0.22187151550495
1.3056,0.5371,0.0278554566982151,0.304150546965649
1.4357,0.696,0.0303195932522879,0.351531457415285
1.5476,0.8541,0.0282840021858799,0.466426809667092
1.5698,0.888,0.0246413655407287,0.775946298326751
1.5229,0.8174,0.0207844561517451,1
1.5776,0.9,0.0207844561517451,1
