susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0162457462979518,0.00118490248313376
0.3537,0.0152,0.0157707244763743,0.000829431738193632
0.3998,0.0213,0.00883540588134223,0.0112565735897707
0.4318,0.0262,0.00712532732366309,0.00616149291229555
0.6081,0.0668,0.00570026185893047,0.00710941489880256
0.7004,0.0982,0.00399018330125133,0.0149297712874854
0.7152,0.1039,0.005985274951877,0.013863359052665
0.6895,0.0941,0.00855039278839571,0.0149297712874854
0.7075,0.1009,0.0114005237178609,0.0222761666829147
0.766,0.1253,0.0153907070191123,0.0247644618974956
0.8963,0.1925,0.0154857113834278,0.037798389211967
1.0018,0.2607,0.0147256764689037,0.0673024610419976
1.0455,0.2929,0.0198559121419411,0.116001953098795
1.307,0.5387,0.0234660779859304,0.109129518696619
1.387,0.6334,0.0230860605286684,0.195864380462011
1.3056,0.5371,0.024701134722032,0.26849890267811
1.4357,0.696,0.0268862351012887,0.310325960332732
1.5476,0.8541,0.0250811521792941,0.411753612888982
1.5698,0.888,0.0218510037925668,0.684992125499627
1.5229,0.8174,0.0184308466772085,1
1.5776,0.9,0.0184308466772085,0.94306388632616
