susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0170492807705103,0.00125529010955129
0.3537,0.0152,0.0165507637889165,0.000878703076685906
0.3998,0.0213,0.00927241585764598,0.0119252560407373
0.4318,0.0262,0.00747775472390805,0.00652750856966673
0.6081,0.0668,0.00598220377912644,0.00753174065730776
0.7004,0.0982,0.00418754264538851,0.0158166553803463
0.7152,0.1039,0.00628131396808276,0.0146868942817501
0.6895,0.0941,0.00897330566868966,0.0158166553803463
0.7075,0.1009,0.0119644075582529,0.0235994540595643
0.766,0.1253,0.0161519502036414,0.026235563289622
0.8963,0.1925,0.0162516535999602,0.0400437544946863
1.0018,0.2607,0.01545402642941,0.0713004782225135
1.0455,0.2929,0.0208380098306238,0.122892901725072
1.307,0.5387,0.0246267388907372,0.115612219089674
1.387,0.6334,0.0242279253054621,0.207499455108829
1.3056,0.5371,0.0259228830428812,0.284448738824323
1.4357,0.696,0.028216061158213,0.328760479691484
1.5476,0.8541,0.0263216966281563,0.436213313069075
1.5698,0.888,0.022931781153318,0.725683212331603
1.5229,0.8174,0.0193424588858421,1
1.5776,0.9,0.0193424588858421,0.999085398191875
