susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0140427566795986,0.00102884042816466
0.3537,0.0152,0.0136321497591425,0.000720188299715263
0.3998,0.0213,0.00763728872048346,0.00977398406756429
0.4318,0.0262,0.0061591038068415,0.00534997022645624
0.6081,0.0668,0.0049272830454732,0.00617304256898797
0.7004,0.0982,0.00344909813183124,0.0129633893948747
0.7152,0.1039,0.00517364719774686,0.0120374330095265
0.6895,0.0941,0.0073909245682098,0.0129633893948747
0.7075,0.1009,0.0098545660909464,0.0193422000494956
0.766,0.1253,0.0133036642227776,0.0215027649486414
0.8963,0.1925,0.0133857856068689,0.0328200096584527
1.0018,0.2607,0.0127288145341391,0.0584381363197528
1.0455,0.2929,0.017163369275065,0.10072347791732
1.307,0.5387,0.0202839818705313,0.0947562034339653
1.387,0.6334,0.0199554963341665,0.170067322775619
1.3056,0.5371,0.0213515598637172,0.233135241022112
1.4357,0.696,0.0232403516978153,0.269453308136325
1.5476,0.8541,0.0216800454000821,0.35752204878722
1.5698,0.888,0.0188879183409806,0.594772651521991
1.5229,0.8174,0.0159315485136967,0.979044551441492
1.5776,0.9,0.0159315485136967,0.818854096776254
